unorm,critical_ratio,num_tasks,U_sum,m,schedulable,num_resources,total_requests,max_request_length
0.7,1.0,7,4.00964894245336,6,False,1,462,8.937466729567396
1.0,0.5,7,3.2122547656725717,4,False,4,160,6.9800844618061655
0.2,0.7,13,7.285146948186577,37,True,5,153,7.827089697701627
0.7,0.7,8,4.020816408425892,6,False,1,133,9.117754035724726
0.3,0.5,2,0.7709560272815408,3,True,2,76,8.348994420004548
0.1,1.0,10,5.691123058784165,57,True,3,604,8.014404118577605
0.6,0.4,7,3.8814170382699342,7,True,2,288,6.610717992715556
0.8,1.0,14,6.233225515490864,8,False,5,1012,5.956343152976491
1.0,0.4,3,1.841345907586905,2,False,2,165,8.291969040236749
0.4,0.4,6,3.110941695283726,8,True,2,590,5.273273743084122
0.4,0.5,3,1.5488258874629024,4,True,4,106,5.208353106295706
0.7,0.7,8,4.455386940356358,7,False,3,480,9.813577454718573
0.1,0.9,3,1.1434720468362103,12,True,2,86,8.201040407471293
0.1,1.0,7,3.058901601253956,31,True,2,70,6.5208863757944275
0.7,1.0,8,3.4805710627145725,5,False,5,686,7.992672769277825
0.9,0.4,7,3.1714066321584973,4,False,4,746,5.760275428861345
0.9,0.7,10,4.868280293274235,6,False,5,1027,8.691603938035858
1.0,0.6,5,2.0896166484038146,3,False,4,231,7.109808655726172
0.6,0.7,12,5.402238046885455,10,False,4,1163,7.715986430043376
0.7,0.9,3,1.3595003120687963,2,False,3,65,9.560447197364555
0.6,0.4,5,2.124747996312024,4,False,1,206,5.798354708863076
1.0,1.0,14,6.376015495047051,7,False,3,572,9.673249895821328
0.7,0.4,4,1.6094502320757798,3,False,1,200,8.131895709798577
1.0,0.4,13,5.966793004450541,6,False,1,958,6.387803104982674
0.7,0.5,2,1.1561673551287668,2,True,1,132,7.5607671038438
0.1,0.8,1,0.585862861702711,6,True,5,103,6.72824483769711
0.5,1.0,4,1.991136857026343,4,True,3,69,9.068797124642126
0.6,0.6,7,3.908948272103019,7,False,4,432,8.2594157374064
0.8,0.6,3,1.7129144342994362,3,True,1,280,8.790463300000564
0.5,1.0,3,1.5026837401653539,4,True,1,78,7.4692646658176605
0.1,0.6,7,2.8998089332686576,29,True,3,84,7.202169232142382
0.8,0.9,8,3.905456355550332,5,False,1,807,9.457265264445729
0.1,0.4,2,0.8450600250728422,9,True,4,53,5.9223188011823655
0.3,0.9,9,4.791434078560448,16,True,2,388,8.946534462780996
0.1,0.7,5,2.887155828348474,29,True,4,537,7.1243536919693735
0.8,0.5,4,1.7322564090407138,3,False,2,275,5.506750821154316
0.9,0.9,6,2.8851310806808566,4,False,4,616,7.408419368533211
0.6,0.5,1,0.3726026762298661,1,True,5,60,6.206081310360505
0.5,0.9,12,6.669940365502655,14,True,1,763,8.35528525986898
0.4,0.4,1,0.6804941827473104,2,True,2,12,6.3614991131333545
0.2,0.9,3,1.346585739160595,7,True,1,154,5.682948123659141
1.0,0.6,2,0.8061483043023004,1,False,5,111,7.814627765876999
0.9,0.6,11,5.295982067386777,6,False,2,461,8.546315696580256
0.4,0.9,8,3.092639417618304,8,True,3,372,6.779513229146262
0.1,0.8,13,5.8939213521535105,59,True,4,996,9.43237504877053
0.2,0.8,2,0.9329037516884331,5,True,2,165,7.408016184313124
0.4,0.6,3,1.4149236378459231,4,True,5,96,5.9351672783039895
0.6,0.6,14,6.718907695266358,12,False,3,994,7.497480921206674
0.4,1.0,14,6.589439844988515,17,True,4,196,5.4606723607304115
0.8,0.7,5,1.7292736260442543,3,False,2,239,6.029850560404804
0.1,0.5,9,4.549308717621525,46,True,1,420,6.04276948834343
0.4,0.6,6,2.746326811483632,7,True,2,341,6.086622576763017
0.9,0.6,6,2.8820800695794144,4,False,4,369,9.672248232664606
0.8,0.8,6,2.685253000742288,4,False,1,283,8.145085818163324
0.5,0.6,7,2.8696713309068955,6,False,3,727,5.17411870842376
0.3,0.6,11,5.108709211075491,18,True,3,651,9.427587921549653
0.1,0.4,3,1.383640680588022,14,True,3,381,5.025273534100191
0.9,1.0,13,6.962948754642106,8,False,3,639,9.011517960837816
0.6,0.8,9,4.375381802457281,8,False,4,465,6.771725350173181
0.6,0.6,8,3.7745644739488675,7,False,2,395,9.685592809746694
0.4,0.9,6,2.5433689291943757,7,True,1,566,8.648101549717099
0.8,0.4,11,4.2305310623338865,6,False,2,882,5.617365538010757
0.3,0.9,6,2.64363430004235,9,True,3,327,5.85784305464602
0.3,0.7,8,3.599816529864227,12,True,4,160,9.619126950846592
0.7,0.7,11,4.552073109840837,7,False,3,114,9.616736038729455
0.4,1.0,1,0.5499041719817038,2,True,5,81,6.0253446393490195
0.6,1.0,13,5.2814886685239895,9,False,2,1116,8.227412882423735
0.3,0.7,11,5.05018018398339,17,True,5,1140,9.719247433122911
0.1,0.9,13,6.17667079404751,62,True,2,639,9.408896709874588
0.7,0.6,13,5.256149428904522,8,False,4,582,6.470036203049108
0.5,0.8,6,2.0940845799815007,5,False,4,378,5.3575157080052325
0.2,0.8,3,1.903930926866558,10,True,4,136,8.76114679869356
0.7,0.8,7,3.8695485641498086,6,False,2,193,9.964690985472846
0.2,0.5,8,4.2800034438704575,22,True,2,528,7.478088865106151
1.0,1.0,9,3.480401718814925,4,False,1,398,7.530360299022948
0.2,0.7,12,6.482358566280109,33,True,2,207,8.031207768051104
0.4,0.9,14,5.7459925411582145,15,True,2,1074,9.666721806050658
0.8,0.8,4,1.857849886435544,3,False,3,36,9.403461062227676
0.4,0.5,5,1.9315403873639072,5,True,4,110,8.802874204323304
0.2,0.8,5,2.5477251649394814,13,True,3,73,9.181014236399163
1.0,0.6,1,0.22655128998775542,1,True,5,21,9.211597022626663
0.2,1.0,14,7.693973191306842,39,True,2,579,7.070059237047313
0.6,0.9,2,1.0214709908184796,2,True,3,184,8.768092226655721
0.2,0.4,14,6.395516901635137,32,True,2,130,8.707288667025274
0.9,0.7,4,1.9474023215239555,3,False,2,208,5.127995263287325
0.9,0.9,9,4.445537720847892,5,False,2,217,9.521369316457992
0.7,0.5,8,3.52146475801425,6,False,3,794,9.481896037913293
0.4,1.0,11,4.768402660639316,12,True,5,388,5.294839468850129
0.2,0.9,10,4.949389078310221,25,True,1,670,8.713694994815118
0.7,1.0,4,1.8111238688290179,3,False,2,229,7.717125535599821
0.8,0.6,12,6.34112028434161,8,False,1,353,9.475773652912768
0.1,0.8,10,5.426615121823012,55,True,5,581,7.134735092936068
0.5,0.7,12,5.0206663794467685,11,False,5,343,7.664364673311729
0.9,1.0,12,4.554880508533087,6,False,3,699,5.157694506287247
0.3,0.7,10,4.982575788029841,17,True,3,630,8.577559296140972
0.8,0.9,13,5.576104529583024,7,False,1,489,5.4845572508836
0.7,0.7,6,3.259815613651558,5,False,4,380,5.246528853002111
0.9,0.4,4,1.7176131996077908,2,False,1,184,5.831011122739403
1.0,0.6,10,5.4515764243949825,6,False,5,1329,8.01555257945014
0.6,0.8,11,5.228123709315178,9,False,2,580,7.824513971692914
